Gene
Adcy2
Cckbr
Ctbp2
Dync1h1
Gad2
Gcgr
H6pd
Kat2b
Lrrc4c
Mag
Mdh1
Nrcam
Scn8a
Setx
Shtn1
Slc39a10
Slc39a11
Sos2
Zbtb20
