Gene
6330403K07Rik
Abl1
Adcy1
Adora2a
Ago3
Apc
Aph1b/c
Atg7
Atp2a2
Atp6v1h
Avp
B2m
Bace2
Bmpr1a
Calb1
Camk2n1
Car8
Ccl2
Cd74
Cdc6
Clasp2
Clu
Cr1l
Csmd3
Cst7
Ctbp2
Cxcl2
Dicer1
Dnm2
Dnm3
Drd2
Dync1h1
Eif4g3
Gnao1
Grin2a
Grm1
H3f3b
Ifnar1
Ift88
Il6
Ip6k2
Irs2
Kat2b
Lamp2
Lrp6
Lrrc4c
Map2k5
Map3k5
Mapkap1
Mc4r
Mdh1
Mertk
Ms4a1
Nckap1
Neo1
Nfasc
Nrcam
Nrf1
Opa1
Oprd1
P2rx7
Pde10a
Pde4d
Pfkl
Pfkm
Pik3r1
Plppr1
Ppp2r2a
Prickle2
Prkacb
Psen1
Ptpn13
Ptpro
Raf1
Rb1
Rbpj
Reln
Rpia
Rspo2
Samhd1
Scg5
Sem1
Slc8a1
Sos1
Sptan1
Sstr1
Sv2a
Syn3
Tab2
Tac1
Tank
Tbx21
Tcf4
Tenm2
Tfdp2
Thrb
Thsd4
Tiam1
Tnks
Tnrc6c
Traf3
Trp53
Ttr
Vcan
Xpo1
Ybx1
Ywhag
