Gene
Adcy5
Apoe
App
Bcl2l1
C1qa
C1qb
Calm1
Calm2
Camk2a
Cd81
Cst3
Ctnnb1
Ctsb
Ctss
Dlg4
Dynll2
Eif4a2
Fth1
Fus
Gls
Gng7
Gpm6b
Grn
Itm2b
Kcnd2
Malat1
Mertk
Nrgn
P2ry12
Pcsk1n
Phactr1
Pink1
Prkce
Psap
Pten
Slc1a2
Snap25
Sparc
Syt11
Tardbp
Tmem119
Tmsb4x
Trem2
Tspan3
Ube2g1
