n_genes,n_sig_G1_only,n_sig_G2_only,n_sig_both,n_flip,pct_flip,pearson_r_all,mab_all,pearson_r_top10,mab_top10,spearman_r_neglogp,spearman_r_neglogp_top10,spearman_r_lfc,mab_pct_all,mab_pct_top10,cell_type,model,annotation
1000,13,10,18,119,11.9,0.9022,0.064,0.9452,0.0786,0.7298,0.8789,0.9069,34.64,15.99,Astrocytes,seurat,blind
1000,11,9,18,119,11.9,0.9022,0.064,0.9452,0.0786,0.9609,0.983,0.9069,34.64,15.99,Astrocytes,seurat,napari
1000,11,8,18,119,11.9,0.9022,0.064,0.9452,0.0786,0.9491,0.9821,0.9069,34.64,15.99,Astrocytes,seurat,quint
1000,10,6,7,167,16.7,0.8206,0.1026,0.9199,0.1318,0.6394,0.6603,0.8266,55.43,27.77,Microglia,seurat,blind
1000,1,5,7,167,16.7,0.8206,0.1026,0.9199,0.1318,0.8784,0.8733,0.8266,55.43,27.77,Microglia,seurat,napari
1000,2,5,7,167,16.7,0.8206,0.1026,0.9199,0.1318,0.8969,0.9326,0.8266,55.43,27.77,Microglia,seurat,quint
1000,13,12,10,215,21.5,0.7412,0.1132,0.8844,0.1362,0.5891,0.5821,0.7442,69.02,32.0,WholeBrain,seurat,blind
1000,12,12,11,215,21.5,0.7412,0.1132,0.8844,0.1362,0.9973,0.9985,0.7442,69.02,32.0,WholeBrain,seurat,napari
1000,12,12,11,215,21.5,0.7412,0.1132,0.8844,0.1362,0.9868,0.9933,0.7442,69.02,32.0,WholeBrain,seurat,quint
