n_genes,n_sig_G1_only,n_sig_G2_only,n_sig_both,n_flip,pct_flip,pearson_r_all,mab_all,pearson_r_top10,mab_top10,spearman_r_neglogp,spearman_r_neglogp_top10,spearman_r_lfc,mab_pct_all,mab_pct_top10,cell_type,model,annotation
1000,10,4,8,124,12.4,0.8345,0.0175,0.8122,0.0763,0.7,0.6185,0.839,49.58,44.61,Astrocytes,dream,blind
1000,2,1,14,58,5.8,0.9919,0.0055,0.9953,0.0126,0.8815,0.9625,0.9751,16.05,7.44,Astrocytes,dream,napari
1000,2,0,8,60,6.0,0.9898,0.006,0.9933,0.0147,0.8646,0.9302,0.9668,17.82,9.06,Astrocytes,dream,quint
1000,11,9,11,176,17.6,0.8824,0.0247,0.9151,0.0668,0.5214,0.6421,0.8152,49.67,29.51,Microglia,dream,blind
1000,9,5,13,146,14.6,0.9642,0.0166,0.9849,0.0321,0.6233,0.8748,0.891,34.16,14.2,Microglia,dream,napari
1000,7,6,12,131,13.1,0.9612,0.0171,0.9816,0.0358,0.6053,0.8579,0.8901,35.11,15.8,Microglia,dream,quint
1000,11,19,18,210,21.0,0.8128,0.0295,0.8523,0.0968,0.5431,0.5666,0.7451,62.5,43.41,WholeBrain,dream,blind
1000,3,2,13,41,4.1,0.9971,0.0031,0.999,0.0081,0.9583,0.9631,0.9928,9.64,5.39,WholeBrain,dream,napari
1000,2,2,12,43,4.3,0.9969,0.0033,0.9989,0.007,0.954,0.9702,0.9918,10.22,4.62,WholeBrain,dream,quint
