Gene
6330403K07Rik
Abca2
Abi1
Abi2
Abl1
Acaca
Acer3
Ada
Adam22
Adar
Adcy1
Adcy2
Adcy5
Adcy8
Adcy9
Adgrg1
Adgrl2
Adgrl3
Adora2a
Adra1d
Ago2
Ago3
Agt
Agtr1b
Agtr2
Ahcyl1
Akt1
Alcam
Aldh1l1
Aldoa
Aldoc
Ambra1
Anapc16
Apba1
Apela
Aph1b/c
Aplp2
Apod
Apoe
App
Aqp4
Arhgef7
Arih1
Arpp21
Aspa
Astn2
Atg10
Atg13
Atg4c
Atg5
Atg7
Atm
Atp1a2
Atp1b1
Atp2a2
Atp2b1
Atp2b2
Atp2b4
Atp6v0a1
Atp6v1a
Atp8a1
Atr
Atrn
Atxn1
Atxn2
Avp
Avpr1a
Avpr2
Axl
Bace1
Bace2
Bcan
Bcas1
Bche
Bcl2l1
Bin1
Birc6
Bmpr1a
Bmpr2
Brwd1
Bsg
Btrc
C1qa
C1qb
C1qc
C1s1/2
C5ar1
Cab39
Cab39l
Cacna1a
Cacna1b
Cacna1c
Cacna1d
Cacna1e
Cacna2d1
Cacnb2
Cacnb4
Calb1
Calca
Calm1
Calm2
Camk1d
Camk2a
Camk2d
Camk2g
Camk2n1
Cartpt
Casp3
Cast
Cblb
Cbln2
Cck
Ccl2
Cd44
Cd46
Cd55
Cd6
Cd74
Cd81
Cd84
Cd9
Cdc14b
Cdc27
Cdc6
Cdk6
Cdk8
Cfh
Chat
Chchd10
Chl1
Chrm1
Chrm2
Chrm5
Chrna4
Chrna7
Ckb
Clasp2
Cldn5
Clec7a
Clip1
Clstn1
Cnr1
Cntn1
Cntn2
Cntn5
Col1a2
Comt
Cop1
Cox4i1
Cox6c
Cox7c
Cox8a
Cpe
Cplx1
Cr1l
Creb1
Creb5
Crebbp
Crhr1
Crhr2
Crip1
Cryab
Csf1r
Csnk1a1
Csnk2a1
Cspg5
Cst3
Cst7
Ctbp2
Ctnna1
Ctnna2
Ctnnb1
Ctnnd2
Ctsb
Ctsd
Ctss
Ctxn1
Cul1
Cul5
Cx3cr1
Cxcl14
Cxcl2
Cyba
Cyfip2
Daam1
Daam2
Dab1
Dapk1
Dbi
Dcn
Ddt
Dgkg
Dgki
Dlg1
Dlg4
Dlgap2
Dlk1
Dmd
Dnajc1
Dnm1
Dnm1l
Dnm2
Dnm3
Dock1
Dock3
Drd1
Drd2
Drd4
Dscam
Dscaml1
Dync1i2
Dync1li2
Dynll1
Dynll2
Edn1
Edn3
Ednra
Ednrb
Egr1
Eif4a2
Elmo1
Emcn
Entpd2
Ep300
Epb41l2
Epb41l3
Epha4
Epha6
Epn2
Esam
Fa2h
Fabp7
Fau
Fbln5
Fbxo33
Fbxw11
Fgf1
Fgfr2
Flt1
Fn1
Fnip2
Fos
Foxj1
Foxo1
Foxo3
Frs2
Fth1
Ftl1
Fus
Fxyd6
Fyn
Fzd3
Gabbr2
Gabra2
Gabrb1
Gabrb2
Gabrb3
Gad2
Gal
Galr1
Galr3
Gap43
Gba
Gbp2
Gcg
Gdnf
Ghr
Gja1
Gjb1
Glp1r
Gls
Glul
Gm2a
Gnai1
Gnai2
Gnao1
Gnaq
Gnas
Gnb1
Gng7
Gphn
Gpi1
Gpm6a
Gpm6b
Gpnmb
Gpr158
Gpr17
Gpr37l1
Grb10
Gria1
Gria2
Gria4
Grid1
Grik1
Grik2
Grin1
Grin2a
Grin2b
Grm1
Grm3
Grm7
Grn
Gsk3b
Gsn
Gstm1
Gucy1a2
H2-Aa
H3f3b
Hdac4
Hdac9
Hecw1
Herc1
Herc4
Higd1b
Hip1
Hipk2
Hmgb1
Hnrnpa2b1
Homer1
Hsp90aa1
Hsp90ab1
Hspa1a
Hspa1b
Hspa4l
Hspa8
Hsph1
Htr1a
