Gene
Abca2
Adcy1
Adcy5
Adgrl3
Akt1
Ambra1
Apba1
Aplp2
Apoe
App
Aspa
Atp1a2
Atp2b1
Atp6v1a
Atp8a1
Atrn
Avpr1a
Bace1
Bcl2l1
Birc6
Bsg
C1qb
C1s1/2
Cacna1e
Calm1
Calm2
Camk1d
Camk2g
Cd55
Cd81
Cd9
Cdk8
Cfh
Chl1
Chrm5
Clu
Cntn1
Cop1
Cox4i1
Cox7c
Cox8a
Cpe
Csnk1a1
Cspg5
Cst3
Ctnnb1
Ctsb
Cyfip2
Daam1
Daam2
Dlg4
Dmd
Dnm1l
Dynll2
Eif4a2
Fau
Fgfr2
Ftl1
Fus
Fxyd6
Gabra2
Gcg
Ghr
Gja1
Gls
Glul
Gnaq
Gnas
Gnb1
Gng7
Gphn
Gpi1
Gpm6a
Gpm6b
Gpr37l1
Gria2
Grin2a
Grn
Gsn
Gstm1
Hmgb1
Hnrnpa2b1
Icmt
Igf1r
Invs
Irs2
Itgb8
Itm2b
Itm2c
Itpr1
Itpr2
Kidins220
Kif5c
Lifr
Lilrb4a/b
Lrrc7
Magi1
Malat1
Map2k1
Mapk10
Mapk14
Mark3
Mc5r
Mdga2
Mecp2
Mef2c
Mfge8
Mib1
Mmp14
Msr1
Mt3
Myo6
Ncam1
Ncor1
Ndrg4
Ndufa13
Nf1
Nfasc
Nlgn4l
Nnat
Nrf1
Ntm
Ntrk2
Olfm1
P2ry14
Pcp4
Pcsk1n
Pde7b
Pdgfrb
Pfkp
Phactr1
Phkb
Pink1
Pkn2
Plcb1
Plcb4
Plppr1
Pltp
Ppargc1a
Ppp2r2c
Prkn
Prnp
Psap
Psme4
Pten
Ptgds
Ptn
Ptpn4
Ptprs
Pvalb
Ramp1
Rapgef1
Rb1
Rgs6
Rgs7
Rnf144a
Rock1
Rora
Rpe
Rps9
Rtn1
S100a16
Samhd1
Sbf2
Selenow
Serinc3
Sh3gl2
Shc3
Sil1
Slc1a2
Slc1a3
Slc24a3
Slc38a9
Slc6a1
Smurf1
Snap25
Sorbs1
Sorl1
Spag9
Sparc
Sptbn1
Sptbn4
Stat3
Stk3
Stxbp1
Sulf2
Syn2
Syt11
Tardbp
Tbl1x
Thy1
Tjp1
Tmsb10
Tnik
Tnrc6a
Trip12
Trp53
Trpm7
Tspan3
Tspan7
Tubb5
Tusc3
Ube2g1
Ube3a
Uggt2
Uqcr10
Usp15
Vav3
Vegfa
Vegfb
Wac
Ywhag
Ywhaz
Zbtb20
Zeb1
Zfyve16
