Gene
Adcy1
Apoe
App
Bcl2l1
C1qa
C1qb
Calm1
Calm2
Cd81
Csf1r
Cst3
Ctnnb1
Ctsb
Ctss
Cx3cr1
Dynll2
Eif4a2
Fth1
Fus
Gpi1
Grn
Itm2b
Kcnd2
Malat1
Mertk
Nav3
Nrgn
P2ry12
Pink1
Prkce
Psap
Pten
Snap25
Sparc
Syt11
Tardbp
Tmem119
Tmsb4x
Ube2g1
