"scenario","fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_seeds"
"interaction",0.321702370456804,0.520854180354675,0.0530141176412297,0.121207768261857,0.971,0.9878,-1.57176484589936,2.07660649378675,NA,50
"null",1,1,0.00822188228308469,0.0575333961215725,NA,NA,NA,NA,NA,50
"region_specific",0.291531280809359,0.480992897588287,0.0444781636171401,0.102224798760425,0.941,0.9776,-0.303464507980601,0.499931658058018,NA,50
"shared",0.34701746093063,0.495818985883724,0.0545704890831161,0.107559986170672,0.8892,0.9684,-0.0390885990929739,0.433762201337571,NA,50
