"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
1,1,0.606,0.79,NA,NA,NA,NA,NA,1000,0,"null","16","seurat_blind"
1,1,0.569,0.751,NA,NA,NA,NA,NA,1000,0,"null","16","seurat_napari"
1,1,0.569,0.751,NA,NA,NA,NA,NA,1000,0,"null","16","seurat_quint"
1,1,0.611,0.816,NA,NA,NA,NA,NA,1000,0,"null","16","wilcoxon"
1,1,0.00100200400801603,0.0861723446893788,NA,NA,NA,NA,NA,998,0,"null","16","deseq2_pb"
1,1,0.009,0.093,NA,NA,NA,NA,NA,1000,0,"null","17","dream_blind"
1,1,0.003,0.07,NA,NA,NA,NA,NA,1000,0,"null","17","dream_napari"
1,1,0.003,0.07,NA,NA,NA,NA,NA,1000,0,"null","17","dream_quint"
1,1,0.609,0.798,NA,NA,NA,NA,NA,1000,0,"null","17","seurat_blind"
1,1,0.572,0.764,NA,NA,NA,NA,NA,1000,0,"null","17","seurat_napari"
1,1,0.572,0.764,NA,NA,NA,NA,NA,1000,0,"null","17","seurat_quint"
1,1,0.605,0.799,NA,NA,NA,NA,NA,1000,0,"null","17","wilcoxon"
NA,1,0,0.082,NA,NA,NA,NA,NA,1000,0,"null","17","deseq2_pb"
NA,1,0,0.096,NA,NA,NA,NA,NA,1000,0,"null","18","dream_blind"
NA,1,0,0.097,NA,NA,NA,NA,NA,1000,0,"null","18","dream_napari"
NA,1,0,0.097,NA,NA,NA,NA,NA,1000,0,"null","18","dream_quint"
1,1,0.6,0.774,NA,NA,NA,NA,NA,1000,0,"null","18","seurat_blind"
1,1,0.581,0.75,NA,NA,NA,NA,NA,1000,0,"null","18","seurat_napari"
1,1,0.581,0.75,NA,NA,NA,NA,NA,1000,0,"null","18","seurat_quint"
1,1,0.616,0.789,NA,NA,NA,NA,NA,1000,0,"null","18","wilcoxon"
1,1,0.00501002004008016,0.0831663326653307,NA,NA,NA,NA,NA,998,0,"null","18","deseq2_pb"
1,1,0.005005005005005,0.0950950950950951,NA,NA,NA,NA,NA,999,0,"null","19","dream_blind"
1,1,0.00600600600600601,0.0830830830830831,NA,NA,NA,NA,NA,999,0,"null","19","dream_napari"
1,1,0.00600600600600601,0.0830830830830831,NA,NA,NA,NA,NA,999,0,"null","19","dream_quint"
1,1,0.604,0.796,NA,NA,NA,NA,NA,1000,0,"null","19","seurat_blind"
1,1,0.597,0.784,NA,NA,NA,NA,NA,1000,0,"null","19","seurat_napari"
1,1,0.597,0.784,NA,NA,NA,NA,NA,1000,0,"null","19","seurat_quint"
1,1,0.608,0.809,NA,NA,NA,NA,NA,1000,0,"null","19","wilcoxon"
1,1,0.0030060120240481,0.0821643286573146,NA,NA,NA,NA,NA,998,0,"null","19","deseq2_pb"
NA,1,0,0.101,NA,NA,NA,NA,NA,1000,0,"null","2","dream_blind"
1,1,0.003,0.096,NA,NA,NA,NA,NA,1000,0,"null","2","dream_napari"
1,1,0.003,0.096,NA,NA,NA,NA,NA,1000,0,"null","2","dream_quint"
1,1,0.621,0.769,NA,NA,NA,NA,NA,1000,0,"null","2","seurat_blind"
1,1,0.583,0.755,NA,NA,NA,NA,NA,1000,0,"null","2","seurat_napari"
1,1,0.583,0.755,NA,NA,NA,NA,NA,1000,0,"null","2","seurat_quint"
1,1,0.634,0.785,NA,NA,NA,NA,NA,1000,0,"null","2","wilcoxon"
1,1,0.002,0.089,NA,NA,NA,NA,NA,1000,0,"null","2","deseq2_pb"
1,1,0.004,0.098,NA,NA,NA,NA,NA,1000,0,"null","20","dream_blind"
1,1,0.002,0.094,NA,NA,NA,NA,NA,1000,0,"null","20","dream_napari"
1,1,0.002,0.094,NA,NA,NA,NA,NA,1000,0,"null","20","dream_quint"
1,1,0.613,0.798,NA,NA,NA,NA,NA,1000,0,"null","20","seurat_blind"
1,1,0.596,0.782,NA,NA,NA,NA,NA,1000,0,"null","20","seurat_napari"
1,1,0.596,0.782,NA,NA,NA,NA,NA,1000,0,"null","20","seurat_quint"
1,1,0.622,0.809,NA,NA,NA,NA,NA,1000,0,"null","20","wilcoxon"
1,1,0.005,0.095,NA,NA,NA,NA,NA,1000,0,"null","20","deseq2_pb"
1,1,0.003,0.09,NA,NA,NA,NA,NA,1000,0,"null","21","dream_blind"
NA,1,0,0.089,NA,NA,NA,NA,NA,1000,0,"null","21","dream_napari"
NA,1,0,0.089,NA,NA,NA,NA,NA,1000,0,"null","21","dream_quint"
1,1,0.631,0.791,NA,NA,NA,NA,NA,1000,0,"null","21","seurat_blind"
1,1,0.626,0.786,NA,NA,NA,NA,NA,1000,0,"null","21","seurat_napari"
1,1,0.626,0.786,NA,NA,NA,NA,NA,1000,0,"null","21","seurat_quint"
1,1,0.642,0.797,NA,NA,NA,NA,NA,1000,0,"null","21","wilcoxon"
1,1,0.003,0.081,NA,NA,NA,NA,NA,1000,0,"null","21","deseq2_pb"
1,1,0.001,0.097,NA,NA,NA,NA,NA,1000,0,"null","22","dream_blind"
NA,1,0,0.089,NA,NA,NA,NA,NA,1000,0,"null","22","dream_napari"
NA,1,0,0.089,NA,NA,NA,NA,NA,1000,0,"null","22","dream_quint"
1,1,0.614,0.785,NA,NA,NA,NA,NA,1000,0,"null","22","seurat_blind"
1,1,0.586,0.772,NA,NA,NA,NA,NA,1000,0,"null","22","seurat_napari"
1,1,0.586,0.772,NA,NA,NA,NA,NA,1000,0,"null","22","seurat_quint"
1,1,0.61,0.803,NA,NA,NA,NA,NA,1000,0,"null","22","wilcoxon"
NA,1,0,0.08,NA,NA,NA,NA,NA,1000,0,"null","22","deseq2_pb"
1,1,0.012,0.087,NA,NA,NA,NA,NA,1000,0,"null","23","dream_blind"
1,1,0.007,0.075,NA,NA,NA,NA,NA,1000,0,"null","23","dream_napari"
1,1,0.007,0.075,NA,NA,NA,NA,NA,1000,0,"null","23","dream_quint"
1,1,0.606,0.788,NA,NA,NA,NA,NA,1000,0,"null","23","seurat_blind"
1,1,0.579,0.762,NA,NA,NA,NA,NA,1000,0,"null","23","seurat_napari"
1,1,0.579,0.762,NA,NA,NA,NA,NA,1000,0,"null","23","seurat_quint"
1,1,0.615,0.79,NA,NA,NA,NA,NA,1000,0,"null","23","wilcoxon"
1,1,0.0030060120240481,0.0791583166332665,NA,NA,NA,NA,NA,998,0,"null","23","deseq2_pb"
NA,1,0,0.085,NA,NA,NA,NA,NA,1000,0,"null","24","dream_blind"
NA,1,0,0.073,NA,NA,NA,NA,NA,1000,0,"null","24","dream_napari"
NA,1,0,0.073,NA,NA,NA,NA,NA,1000,0,"null","24","dream_quint"
