"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","region","model"
1,1,0.001,0.074,NA,NA,NA,NA,NA,1000,0,"null","35","Cortex","stratified_Cortex"
1,1,0.001001001001001,0.0820820820820821,NA,NA,NA,NA,NA,999,0,"null","35","Hippocampus","stratified_Hippocampus"
NA,1,0,0.079,NA,NA,NA,NA,NA,1000,0,"null","35","Olfactory","stratified_Olfactory"
NA,1,0,0.0790790790790791,NA,NA,NA,NA,NA,999,0,"null","35","Striatum","stratified_Striatum"
1,1,0.00600600600600601,0.0650650650650651,NA,NA,NA,NA,NA,999,0,"null","36","Cortex","stratified_Cortex"
1,1,0.003003003003003,0.0650650650650651,NA,NA,NA,NA,NA,999,0,"null","36","Hippocampus","stratified_Hippocampus"
1,1,0.004004004004004,0.0670670670670671,NA,NA,NA,NA,NA,999,0,"null","36","Olfactory","stratified_Olfactory"
1,1,0.00400801603206413,0.0671342685370741,NA,NA,NA,NA,NA,998,0,"null","36","Striatum","stratified_Striatum"
1,1,0.001,0.07,NA,NA,NA,NA,NA,1000,0,"null","37","Cerebellum","stratified_Cerebellum"
1,1,0.006,0.076,NA,NA,NA,NA,NA,1000,0,"null","37","Cortex","stratified_Cortex"
NA,1,0,0.073,NA,NA,NA,NA,NA,1000,0,"null","37","Hippocampus","stratified_Hippocampus"
1,1,0.004,0.072,NA,NA,NA,NA,NA,1000,0,"null","37","Olfactory","stratified_Olfactory"
1,1,0.007,0.074,NA,NA,NA,NA,NA,1000,0,"null","37","Striatum","stratified_Striatum"
1,1,0.00803212851405622,0.0833333333333333,NA,NA,NA,NA,NA,996,0,"null","38","Cerebellum","stratified_Cerebellum"
1,1,0.00501504513540622,0.0762286860581745,NA,NA,NA,NA,NA,997,0,"null","38","Cortex","stratified_Cortex"
1,1,0.00200803212851406,0.0933734939759036,NA,NA,NA,NA,NA,996,0,"null","38","Hippocampus","stratified_Hippocampus"
1,1,0.0070281124497992,0.0873493975903614,NA,NA,NA,NA,NA,996,0,"null","38","Olfactory","stratified_Olfactory"
1,1,0.00501002004008016,0.0871743486973948,NA,NA,NA,NA,NA,998,0,"null","38","Striatum","stratified_Striatum"
1,1,0.001001001001001,0.0580580580580581,NA,NA,NA,NA,NA,999,0,"null","39","Cerebellum","stratified_Cerebellum"
NA,1,0,0.052,NA,NA,NA,NA,NA,1000,0,"null","39","Cortex","stratified_Cortex"
NA,1,0,0.046046046046046,NA,NA,NA,NA,NA,999,0,"null","39","Hippocampus","stratified_Hippocampus"
NA,1,0,0.0500500500500501,NA,NA,NA,NA,NA,999,0,"null","39","Olfactory","stratified_Olfactory"
1,1,0.001001001001001,0.0510510510510511,NA,NA,NA,NA,NA,999,0,"null","39","Striatum","stratified_Striatum"
1,1,0.001001001001001,0.045045045045045,NA,NA,NA,NA,NA,999,0,"null","4","Cerebellum","stratified_Cerebellum"
NA,1,0,0.062,NA,NA,NA,NA,NA,1000,0,"null","4","Cortex","stratified_Cortex"
1,1,0.006,0.054,NA,NA,NA,NA,NA,1000,0,"null","4","Hippocampus","stratified_Hippocampus"
1,1,0.003,0.05,NA,NA,NA,NA,NA,1000,0,"null","4","Olfactory","stratified_Olfactory"
1,1,0.002,0.06,NA,NA,NA,NA,NA,1000,0,"null","4","Striatum","stratified_Striatum"
1,1,0.00200400801603206,0.0741482965931864,NA,NA,NA,NA,NA,998,0,"null","40","Cerebellum","stratified_Cerebellum"
1,1,0.004,0.068,NA,NA,NA,NA,NA,1000,0,"null","40","Cortex","stratified_Cortex"
1,1,0.004004004004004,0.0670670670670671,NA,NA,NA,NA,NA,999,0,"null","40","Hippocampus","stratified_Hippocampus"
1,1,0.00100200400801603,0.0671342685370741,NA,NA,NA,NA,NA,998,0,"null","40","Olfactory","stratified_Olfactory"
1,1,0.00800800800800801,0.0770770770770771,NA,NA,NA,NA,NA,999,0,"null","40","Striatum","stratified_Striatum"
1,1,0.00200400801603206,0.0721442885771543,NA,NA,NA,NA,NA,998,0,"null","41","Cerebellum","stratified_Cerebellum"
1,1,0.004,0.078,NA,NA,NA,NA,NA,1000,0,"null","41","Cortex","stratified_Cortex"
NA,1,0,0.073,NA,NA,NA,NA,NA,1000,0,"null","41","Hippocampus","stratified_Hippocampus"
1,1,0.008,0.075,NA,NA,NA,NA,NA,1000,0,"null","41","Olfactory","stratified_Olfactory"
NA,1,0,0.0680680680680681,NA,NA,NA,NA,NA,999,0,"null","41","Striatum","stratified_Striatum"
1,1,0.003,0.069,NA,NA,NA,NA,NA,1000,0,"null","42","Cerebellum","stratified_Cerebellum"
1,1,0.003,0.1,NA,NA,NA,NA,NA,1000,0,"null","42","Cortex","stratified_Cortex"
1,1,0.002,0.08,NA,NA,NA,NA,NA,1000,0,"null","42","Hippocampus","stratified_Hippocampus"
1,1,0.005,0.075,NA,NA,NA,NA,NA,1000,0,"null","42","Olfactory","stratified_Olfactory"
1,1,0.003,0.073,NA,NA,NA,NA,NA,1000,0,"null","42","Striatum","stratified_Striatum"
NA,1,0,0.049,NA,NA,NA,NA,NA,1000,0,"null","43","Cerebellum","stratified_Cerebellum"
1,1,0.005,0.056,NA,NA,NA,NA,NA,1000,0,"null","43","Cortex","stratified_Cortex"
1,1,0.002002002002002,0.0670670670670671,NA,NA,NA,NA,NA,999,0,"null","43","Hippocampus","stratified_Hippocampus"
1,1,0.006,0.064,NA,NA,NA,NA,NA,1000,0,"null","43","Olfactory","stratified_Olfactory"
1,1,0.002,0.06,NA,NA,NA,NA,NA,1000,0,"null","43","Striatum","stratified_Striatum"
1,1,0.0030060120240481,0.0851703406813627,NA,NA,NA,NA,NA,998,0,"null","44","Cerebellum","stratified_Cerebellum"
1,1,0.00501504513540622,0.0792377131394183,NA,NA,NA,NA,NA,997,0,"null","44","Cortex","stratified_Cortex"
1,1,0.00401203610832497,0.0812437311935807,NA,NA,NA,NA,NA,997,0,"null","44","Hippocampus","stratified_Hippocampus"
1,1,0.00100300902708124,0.0732196589769308,NA,NA,NA,NA,NA,997,0,"null","44","Olfactory","stratified_Olfactory"
1,1,0.00100300902708124,0.086258776328987,NA,NA,NA,NA,NA,997,0,"null","44","Striatum","stratified_Striatum"
1,1,0.005,0.084,NA,NA,NA,NA,NA,1000,0,"null","45","Cerebellum","stratified_Cerebellum"
1,1,0.004,0.081,NA,NA,NA,NA,NA,1000,0,"null","45","Cortex","stratified_Cortex"
1,1,0.00700700700700701,0.0870870870870871,NA,NA,NA,NA,NA,999,0,"null","45","Hippocampus","stratified_Hippocampus"
1,1,0.003003003003003,0.0780780780780781,NA,NA,NA,NA,NA,999,0,"null","45","Olfactory","stratified_Olfactory"
1,1,0.004,0.073,NA,NA,NA,NA,NA,1000,0,"null","45","Striatum","stratified_Striatum"
1,1,0.004,0.095,NA,NA,NA,NA,NA,1000,0,"null","46","Cerebellum","stratified_Cerebellum"
1,1,0.004,0.077,NA,NA,NA,NA,NA,1000,0,"null","46","Cortex","stratified_Cortex"
1,1,0.005,0.073,NA,NA,NA,NA,NA,1000,0,"null","46","Hippocampus","stratified_Hippocampus"
1,1,0.003,0.068,NA,NA,NA,NA,NA,1000,0,"null","46","Olfactory","stratified_Olfactory"
NA,1,0,0.074,NA,NA,NA,NA,NA,1000,0,"null","46","Striatum","stratified_Striatum"
1,1,0.003003003003003,0.0630630630630631,NA,NA,NA,NA,NA,999,0,"null","47","Cerebellum","stratified_Cerebellum"
1,1,0.005005005005005,0.0760760760760761,NA,NA,NA,NA,NA,999,0,"null","47","Cortex","stratified_Cortex"
1,1,0.00400801603206413,0.0781563126252505,NA,NA,NA,NA,NA,998,0,"null","47","Hippocampus","stratified_Hippocampus"
1,1,0.00801603206412826,0.0671342685370741,NA,NA,NA,NA,NA,998,0,"null","47","Olfactory","stratified_Olfactory"
1,1,0.00501002004008016,0.0741482965931864,NA,NA,NA,NA,NA,998,0,"null","47","Striatum","stratified_Striatum"
1,1,0.005,0.073,NA,NA,NA,NA,NA,1000,0,"null","48","Cerebellum","stratified_Cerebellum"
NA,1,0,0.08,NA,NA,NA,NA,NA,1000,0,"null","48","Cortex","stratified_Cortex"
1,1,0.001,0.081,NA,NA,NA,NA,NA,1000,0,"null","48","Hippocampus","stratified_Hippocampus"
1,1,0.005,0.08,NA,NA,NA,NA,NA,1000,0,"null","48","Olfactory","stratified_Olfactory"
1,1,0.002,0.078,NA,NA,NA,NA,NA,1000,0,"null","48","Striatum","stratified_Striatum"
1,1,0.006,0.084,NA,NA,NA,NA,NA,1000,0,"null","49","Cerebellum","stratified_Cerebellum"
1,1,0.002002002002002,0.0850850850850851,NA,NA,NA,NA,NA,999,0,"null","49","Cortex","stratified_Cortex"
1,1,0.002002002002002,0.0830830830830831,NA,NA,NA,NA,NA,999,0,"null","49","Hippocampus","stratified_Hippocampus"
1,1,0.002002002002002,0.0820820820820821,NA,NA,NA,NA,NA,999,0,"null","49","Olfactory","stratified_Olfactory"
1,1,0.003003003003003,0.0850850850850851,NA,NA,NA,NA,NA,999,0,"null","49","Striatum","stratified_Striatum"
1,1,0.001,0.059,NA,NA,NA,NA,NA,1000,0,"null","5","Hippocampus","stratified_Hippocampus"
1,1,0.006,0.059,NA,NA,NA,NA,NA,1000,0,"null","5","Olfactory","stratified_Olfactory"
NA,1,0,0.064,NA,NA,NA,NA,NA,1000,0,"null","5","Striatum","stratified_Striatum"
1,1,0.00400801603206413,0.0831663326653307,NA,NA,NA,NA,NA,998,0,"null","50","Cerebellum","stratified_Cerebellum"
1,1,0.00200400801603206,0.0761523046092184,NA,NA,NA,NA,NA,998,0,"null","50","Cortex","stratified_Cortex"
1,1,0.00401203610832497,0.0752256770310933,NA,NA,NA,NA,NA,997,0,"null","50","Hippocampus","stratified_Hippocampus"
1,1,0.00200601805416249,0.0922768304914744,NA,NA,NA,NA,NA,997,0,"null","50","Olfactory","stratified_Olfactory"
1,1,0.00300902708124373,0.0852557673019057,NA,NA,NA,NA,NA,997,0,"null","50","Striatum","stratified_Striatum"
1,1,0.001,0.08,NA,NA,NA,NA,NA,1000,0,"null","6","Cortex","stratified_Cortex"
1,1,0.00400801603206413,0.0731462925851703,NA,NA,NA,NA,NA,998,0,"null","6","Hippocampus","stratified_Hippocampus"
1,1,0.00400801603206413,0.0831663326653307,NA,NA,NA,NA,NA,998,0,"null","6","Olfactory","stratified_Olfactory"
1,1,0.0030060120240481,0.0791583166332665,NA,NA,NA,NA,NA,998,0,"null","6","Striatum","stratified_Striatum"
1,1,0.002002002002002,0.0700700700700701,NA,NA,NA,NA,NA,999,0,"null","7","Cerebellum","stratified_Cerebellum"
1,1,0.00200400801603206,0.0671342685370741,NA,NA,NA,NA,NA,998,0,"null","7","Cortex","stratified_Cortex"
NA,1,0,0.0681362725450902,NA,NA,NA,NA,NA,998,0,"null","7","Hippocampus","stratified_Hippocampus"
NA,1,0,0.0580580580580581,NA,NA,NA,NA,NA,999,0,"null","7","Olfactory","stratified_Olfactory"
1,1,0.00400801603206413,0.0711422845691383,NA,NA,NA,NA,NA,998,0,"null","7","Striatum","stratified_Striatum"
1,1,0.001001001001001,0.0710710710710711,NA,NA,NA,NA,NA,999,0,"null","8","Cerebellum","stratified_Cerebellum"
NA,1,0,0.064128256513026,NA,NA,NA,NA,NA,998,0,"null","8","Cortex","stratified_Cortex"
1,1,0.00100200400801603,0.06312625250501,NA,NA,NA,NA,NA,998,0,"null","8","Hippocampus","stratified_Hippocampus"
