"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
0.443037974683544,0.546728971962617,0.0778642936596218,0.130144605116796,0.88,0.97,-0.0528698165542097,0.426486543248551,NA,999,100,"shared","13","stratified_combined"
0.260162601626016,0.467391304347826,0.0355555555555556,0.0955555555555556,0.91,0.98,0.0131740945620294,0.424530819011957,NA,1000,100,"shared","14","stratified_combined"
0.371428571428571,0.532019704433498,0.0577777777777778,0.12,0.88,0.95,-0.00293972875787509,0.46481100341232,NA,1000,100,"shared","15","stratified_combined"
0.291338582677165,0.552511415525114,0.0411111111111111,0.134444444444444,0.9,0.98,-0.0140026785273076,0.419177040019706,NA,1000,100,"shared","16","stratified_combined"
0.342857142857143,0.52020202020202,0.0533333333333333,0.114444444444444,0.92,0.95,-0.0841174948835722,0.448813123888626,NA,1000,100,"shared","17","stratified_combined"
0.464705882352941,0.563063063063063,0.0878754171301446,0.139043381535039,0.91,0.97,-0.0790455822316248,0.402464112512022,NA,999,100,"shared","18","stratified_combined"
0.343283582089552,0.507462686567164,0.0511111111111111,0.113333333333333,0.88,0.99,-0.043599716145577,0.460698111730199,NA,1000,100,"shared","19","stratified_combined"
0.407142857142857,0.536945812807882,0.0633333333333333,0.121111111111111,0.83,0.94,-0.124671328124297,0.444498055081579,NA,1000,100,"shared","2","stratified_combined"
0.494047619047619,0.559633027522936,0.0922222222222222,0.135555555555556,0.85,0.96,-0.0825397211628307,0.477048460208557,NA,1000,100,"shared","20","stratified_combined"
0.4,0.549763033175355,0.0666666666666667,0.128888888888889,0.9,0.95,-0.0899356631466663,0.396910297607535,NA,1000,100,"shared","21","stratified_combined"
0.388489208633094,0.507692307692308,0.06,0.11,0.85,0.96,0.0393856366909798,0.520984008234073,NA,1000,100,"shared","22","stratified_combined"
0.25,0.416666666666667,0.0322222222222222,0.0777777777777778,0.87,0.98,-0.0456811845238918,0.399872356782375,NA,1000,100,"shared","23","stratified_combined"
0.216216216216216,0.436046511627907,0.0266666666666667,0.0833333333333333,0.87,0.97,-0.0637383105692174,0.451449972802384,NA,1000,100,"shared","24","stratified_combined"
0.422818791946309,0.507537688442211,0.07,0.112222222222222,0.86,0.98,-0.104254472540191,0.452877111897269,NA,1000,100,"shared","25","stratified_combined"
0.37593984962406,0.51010101010101,0.0555555555555556,0.112222222222222,0.83,0.97,0.0394048293334295,0.446701956338267,NA,1000,100,"shared","26","stratified_combined"
0.296,0.448863636363636,0.0411111111111111,0.0877777777777778,0.88,0.97,-0.051800096436217,0.380810427183033,NA,1000,100,"shared","27","stratified_combined"
0.259842519685039,0.48936170212766,0.0366666666666667,0.102222222222222,0.94,0.96,-0.0896322793392429,0.394325425736964,NA,1000,100,"shared","28","stratified_combined"
0.425,0.542452830188679,0.0756395995550612,0.127919911012236,0.92,0.97,0.05312200919317,0.35157694814322,NA,999,100,"shared","29","stratified_combined"
0.360294117647059,0.502645502645503,0.0544444444444444,0.105555555555556,0.87,0.94,-0.0741202315370138,0.436689581784668,NA,1000,100,"shared","3","stratified_combined"
0.459302325581395,0.547945205479452,0.0877777777777778,0.133333333333333,0.93,0.99,-0.00488780186364563,0.446791061467395,NA,1000,100,"shared","30","stratified_combined"
0.305970149253731,0.492227979274611,0.0455555555555556,0.105555555555556,0.93,0.98,-0.054875327621186,0.37710498653632,NA,1000,100,"shared","31","stratified_combined"
0.31304347826087,0.447058823529412,0.04,0.0844444444444444,0.79,0.94,-0.0207454941048591,0.467905036176126,NA,1000,100,"shared","32","stratified_combined"
0.2,0.416666666666667,0.0244444444444444,0.0777777777777778,0.88,0.98,-0.101583825557788,0.413484269647471,NA,1000,100,"shared","33","stratified_combined"
0.371428571428571,0.538834951456311,0.0577777777777778,0.123333333333333,0.88,0.95,-0.0557163350110279,0.488820429438341,NA,1000,100,"shared","34","stratified_combined"
0.386666666666667,0.521739130434783,0.0644444444444444,0.12,0.92,0.99,-0.0168893415606341,0.40629973308174,NA,1000,100,"shared","35","stratified_combined"
0.4625,0.552884615384615,0.082313681868743,0.127919911012236,0.86,0.93,0.000525156549912299,0.420795898084607,NA,999,100,"shared","36","stratified_combined"
0.419354838709677,0.497435897435897,0.0722222222222222,0.107777777777778,0.9,0.98,-0.0122436071699145,0.450664559187945,NA,1000,100,"shared","37","stratified_combined"
0.470588235294118,0.573913043478261,0.0889877641824249,0.146829810901001,0.9,0.98,-0.0639445235263247,0.6092724649468,NA,999,100,"shared","38","stratified_combined"
0.3203125,0.466292134831461,0.0455555555555556,0.0922222222222222,0.87,0.95,-0.0413420131393145,0.442298859476347,NA,1000,100,"shared","39","stratified_combined"
0.188679245283019,0.379084967320261,0.0222222222222222,0.0644444444444444,0.86,0.95,-0.0280251292797778,0.419731408483439,NA,1000,100,"shared","4","stratified_combined"
0.371428571428571,0.512437810945274,0.0577777777777778,0.114444444444444,0.88,0.98,-0.00494188459455766,0.496165193066394,NA,1000,100,"shared","40","stratified_combined"
0.401273885350318,0.50990099009901,0.07,0.114444444444444,0.94,0.99,0.0178782853744206,0.427415661364339,NA,1000,100,"shared","41","stratified_combined"
0.375,0.5,0.06,0.108888888888889,0.9,0.98,-0.0393826700129678,0.442414210217183,NA,1000,100,"shared","42","stratified_combined"
0.292307692307692,0.455056179775281,0.0422222222222222,0.09,0.92,0.97,-0.0930626770458011,0.41678159179916,NA,1000,100,"shared","43","stratified_combined"
0.406666666666667,0.529411764705882,0.0679287305122494,0.120267260579065,0.89,0.96,-0.0467145016660116,0.401896148871855,NA,998,100,"shared","44","stratified_combined"
0.293103448275862,0.475409836065574,0.0377777777777778,0.0966666666666667,0.82,0.96,-0.051816039888216,0.478395565474365,NA,1000,100,"shared","45","stratified_combined"
0.38961038961039,0.514705882352941,0.0666666666666667,0.116666666666667,0.94,0.99,-0.0402936944918445,0.407029766397374,NA,1000,100,"shared","46","stratified_combined"
0.239669421487603,0.431034482758621,0.032258064516129,0.0834260289210234,0.92,0.99,-0.0328589636698959,0.44881131481666,NA,999,100,"shared","47","stratified_combined"
0.351351351351351,0.50761421319797,0.0577777777777778,0.111111111111111,0.96,0.97,-0.0338656852050299,0.424875744043992,NA,1000,100,"shared","48","stratified_combined"
0.379310344827586,0.530805687203792,0.0611111111111111,0.124444444444444,0.9,0.99,0.0332801033756734,0.479025105813649,NA,1000,100,"shared","49","stratified_combined"
0.354609929078014,0.492146596858639,0.0555555555555556,0.104444444444444,0.91,0.97,0.00937015298235686,0.395053916295923,NA,1000,100,"shared","5","stratified_combined"
0.378571428571429,0.505208333333333,0.0588888888888889,0.107777777777778,0.87,0.95,-0.0867698520026936,0.42893385513467,NA,1000,100,"shared","50","stratified_combined"
0.346153846153846,0.472527472527473,0.05,0.0955555555555556,0.85,0.96,-0.0669139814121732,0.382528193261578,NA,1000,100,"shared","6","stratified_combined"
0.292307692307692,0.478947368421053,0.0422691879866518,0.101223581757508,0.92,0.99,-0.0084840113277601,0.415739816534794,NA,999,100,"shared","7","stratified_combined"
0.323529411764706,0.481675392670157,0.0489432703003337,0.102335928809789,0.92,0.99,-0.0858148575447172,0.414242573778753,NA,999,100,"shared","8","stratified_combined"
0.179487179487179,0.38125,0.0233333333333333,0.0677777777777778,0.96,0.99,-0.0237873789703209,0.431036464242466,NA,1000,100,"shared","9","stratified_combined"
0.296296296296296,0.484210526315789,0.0444444444444444,0.102222222222222,0.95,0.98,-0.29207507732553,0.480998993729645,NA,1000,100,"region_specific","1","stratified_combined"
0.271317829457364,0.436781609195402,0.0388888888888889,0.0844444444444444,0.94,0.98,-0.269614120852853,0.479673261924534,NA,1000,100,"region_specific","10","stratified_combined"
0.28125,0.41566265060241,0.04,0.0766666666666667,0.92,0.97,-0.283014006619578,0.480224003312856,NA,1000,100,"region_specific","11","stratified_combined"
0.401273885350318,0.530805687203792,0.07,0.124444444444444,0.94,0.99,-0.308944607539903,0.484034264897851,NA,1000,100,"region_specific","12","stratified_combined"
0.364864864864865,0.521951219512195,0.0600667408231368,0.119021134593993,0.94,0.98,-0.33034088913024,0.517076308820976,NA,999,100,"region_specific","13","stratified_combined"
0.294964028776978,0.487046632124352,0.0455555555555556,0.104444444444444,0.98,0.99,-0.241356695887874,0.458848726015029,NA,1000,100,"region_specific","14","stratified_combined"
0.375838926174497,0.535885167464115,0.0622222222222222,0.124444444444444,0.93,0.97,-0.310945577022215,0.513603638256567,NA,1000,100,"region_specific","15","stratified_combined"
0.19327731092437,0.50990099009901,0.0255555555555556,0.114444444444444,0.96,0.99,-0.256067870729533,0.429741704299257,NA,1000,100,"region_specific","16","stratified_combined"
0.266129032258065,0.483333333333333,0.0366666666666667,0.0966666666666667,0.91,0.93,-0.347776623631229,0.566589115695402,NA,1000,100,"region_specific","17","stratified_combined"
0.411042944785276,0.560538116591928,0.0745272525027809,0.139043381535039,0.96,0.98,-0.325336566260408,0.472650787514914,NA,999,100,"region_specific","18","stratified_combined"
0.291970802919708,0.492227979274611,0.0444444444444444,0.105555555555556,0.97,0.98,-0.307495803970267,0.505113327225793,NA,1000,100,"region_specific","19","stratified_combined"
0.286821705426357,0.531707317073171,0.0411111111111111,0.121111111111111,0.92,0.96,-0.368226094490626,0.554248610777155,NA,1000,100,"region_specific","2","stratified_combined"
0.363636363636364,0.53030303030303,0.0577777777777778,0.116666666666667,0.91,0.93,-0.351620209544454,0.599106315354534,NA,1000,100,"region_specific","20","stratified_combined"
0.41025641025641,0.528846153846154,0.0711111111111111,0.122222222222222,0.92,0.98,-0.302854316710107,0.498712649294687,NA,1000,100,"region_specific","21","stratified_combined"
0.340579710144928,0.512820512820513,0.0522222222222222,0.111111111111111,0.91,0.95,-0.324978959841109,0.526794591143,NA,1000,100,"region_specific","22","stratified_combined"
0.136363636363636,0.352941176470588,0.0166666666666667,0.06,0.95,0.99,-0.332431259042352,0.526043004341863,NA,1000,100,"region_specific","23","stratified_combined"
0.166666666666667,0.426900584795322,0.0211111111111111,0.0811111111111111,0.95,0.98,-0.36164636608509,0.585133901495106,NA,1000,100,"region_specific","24","stratified_combined"
0.360544217687075,0.5,0.0588888888888889,0.11,0.94,0.99,-0.328885978631255,0.483852206105185,NA,1000,100,"region_specific","25","stratified_combined"
0.291970802919708,0.475935828877005,0.0444444444444444,0.0988888888888889,0.97,0.98,-0.278925085705342,0.430379420259117,NA,1000,100,"region_specific","26","stratified_combined"
0.284615384615385,0.478947368421053,0.0411111111111111,0.101111111111111,0.93,0.99,-0.267316966163277,0.487956342605934,NA,1000,100,"region_specific","27","stratified_combined"
0.342465753424658,0.494949494949495,0.0555555555555556,0.108888888888889,0.96,1,-0.318909827555006,0.501006161779048,NA,1000,100,"region_specific","28","stratified_combined"
0.357615894039735,0.5260663507109,0.0600667408231368,0.123470522803115,0.97,1,-0.200591093171396,0.395928912479008,NA,999,100,"region_specific","29","stratified_combined"
0.24,0.410714285714286,0.0333333333333333,0.0766666666666667,0.95,0.99,-0.253653724270743,0.496772970690638,NA,1000,100,"region_specific","3","stratified_combined"
0.429411764705882,0.526315789473684,0.0811111111111111,0.122222222222222,0.97,0.99,-0.329032166671009,0.506247130141028,NA,1000,100,"region_specific","30","stratified_combined"
0.234375,0.505,0.0333333333333333,0.112222222222222,0.98,0.99,-0.295626417814629,0.471803426522813,NA,1000,100,"region_specific","31","stratified_combined"
0.278688524590164,0.428571428571429,0.0377777777777778,0.08,0.88,0.96,-0.326107375612146,0.518841381579381,NA,1000,100,"region_specific","32","stratified_combined"
0.204918032786885,0.404761904761905,0.0277777777777778,0.0755555555555556,0.97,1,-0.309735051998839,0.50771067037782,NA,1000,100,"region_specific","33","stratified_combined"
0.333333333333333,0.50761421319797,0.0511111111111111,0.111111111111111,0.92,0.97,-0.348110639626019,0.522410311627057,NA,1000,100,"region_specific","34","stratified_combined"
0.344594594594595,0.502487562189055,0.0566666666666667,0.112222222222222,0.97,1,-0.273021391174716,0.446812973309837,NA,1000,100,"region_specific","35","stratified_combined"
0.378378378378378,0.512562814070352,0.0622914349276974,0.113459399332592,0.92,0.97,-0.291209288793943,0.456069522485389,NA,999,100,"region_specific","36","stratified_combined"
0.338028169014085,0.50990099009901,0.0533333333333333,0.114444444444444,0.94,0.99,-0.311945934480854,0.500786333961468,NA,1000,100,"region_specific","37","stratified_combined"
0.359712230215827,0.53960396039604,0.0556173526140156,0.121245828698554,0.89,0.93,-0.392540451075423,0.631978880018638,NA,999,100,"region_specific","38","stratified_combined"
0.3,0.463276836158192,0.0433333333333333,0.0911111111111111,0.91,0.95,-0.336921818476953,0.536458143822698,NA,1000,100,"region_specific","39","stratified_combined"
0.24390243902439,0.447674418604651,0.0333333333333333,0.0855555555555556,0.93,0.95,-0.310713108391349,0.512441294945406,NA,1000,100,"region_specific","4","stratified_combined"
0.230769230769231,0.459016393442623,0.03,0.0933333333333333,0.9,0.99,-0.312717603651,0.554841534626726,NA,1000,100,"region_specific","40","stratified_combined"
0.361842105263158,0.539906103286385,0.0611111111111111,0.127777777777778,0.97,0.98,-0.285755603370603,0.478659107641341,NA,1000,100,"region_specific","41","stratified_combined"
0.245901639344262,0.492063492063492,0.0333333333333333,0.103333333333333,0.92,0.96,-0.297049781410324,0.527669936985469,NA,1000,100,"region_specific","42","stratified_combined"
0.184210526315789,0.431034482758621,0.0233333333333333,0.0833333333333333,0.93,0.99,-0.348382305199947,0.546699243022939,NA,1000,100,"region_specific","43","stratified_combined"
0.342657342657343,0.517241379310345,0.05456570155902,0.116926503340757,0.94,0.98,-0.302196687880169,0.48044362363383,NA,998,100,"region_specific","44","stratified_combined"
0.26984126984127,0.497435897435897,0.0377777777777778,0.107777777777778,0.92,0.98,-0.323686173052958,0.531347817777524,NA,1000,100,"region_specific","45","stratified_combined"
0.347222222222222,0.512437810945274,0.0555555555555556,0.114444444444444,0.94,0.98,-0.272260176778488,0.472682264728556,NA,1000,100,"region_specific","46","stratified_combined"
0.222222222222222,0.444444444444444,0.0311457174638487,0.0889877641824249,0.98,1,-0.325430766845255,0.46932733642695,NA,999,100,"region_specific","47","stratified_combined"
0.323741007194245,0.512562814070352,0.05,0.113333333333333,0.94,0.97,-0.337346291204179,0.536072064570618,NA,1000,100,"region_specific","48","stratified_combined"
0.225806451612903,0.430232558139535,0.0311111111111111,0.0822222222222222,0.96,0.98,-0.196695047067527,0.42893561138034,NA,1000,100,"region_specific","49","stratified_combined"
0.282442748091603,0.476190476190476,0.0411111111111111,0.1,0.94,0.99,-0.244960145578891,0.406787688078344,NA,1000,100,"region_specific","5","stratified_combined"
0.226086956521739,0.442528735632184,0.0288888888888889,0.0855555555555556,0.89,0.97,-0.316274498423477,0.545462999363743,NA,1000,100,"region_specific","50","stratified_combined"
0.176991150442478,0.460674157303371,0.0222222222222222,0.0911111111111111,0.93,0.96,-0.267259653290732,0.51571715684663,NA,1000,100,"region_specific","6","stratified_combined"
0.224806201550388,0.468085106382979,0.032258064516129,0.0978865406006674,1,1,-0.267098414835047,0.44475370279267,NA,999,100,"region_specific","7","stratified_combined"
0.232,0.420118343195266,0.032258064516129,0.0789766407119021,0.96,0.98,-0.328272923875024,0.512526221474441,NA,999,100,"region_specific","8","stratified_combined"
0.204918032786885,0.369426751592357,0.0277777777777778,0.0644444444444444,0.97,0.99,-0.259867962270149,0.458607306741137,NA,1000,100,"region_specific","9","stratified_combined"
0.333333333333333,0.514563106796116,0.0555555555555556,0.117777777777778,1,1,-1.28744976974447,1.83869533841686,NA,1000,100,"interaction","1","stratified_combined"
0.351351351351351,0.521951219512195,0.0577777777777778,0.118888888888889,0.96,0.98,-1.47429068021301,2.01240054795939,NA,1000,100,"interaction","10","stratified_combined"
0.316176470588235,0.472527472527473,0.0477777777777778,0.0955555555555556,0.93,0.96,-1.66362709312825,2.1465674213958,NA,1000,100,"interaction","11","stratified_combined"
0.426900584795322,0.578723404255319,0.0811111111111111,0.151111111111111,0.98,0.99,-1.69805987231178,2.19217889460068,NA,1000,100,"interaction","12","stratified_combined"
0.394904458598726,0.551401869158878,0.0689655172413793,0.131256952169077,0.95,0.96,-1.59351495514588,2.10049388659721,NA,999,100,"interaction","13","stratified_combined"
0.3,0.521739130434783,0.0466666666666667,0.12,0.98,0.99,-1.48542848337922,2.03938899252373,NA,1000,100,"interaction","14","stratified_combined"
0.283582089552239,0.549295774647887,0.0422222222222222,0.13,0.96,0.96,-1.50557874017856,2.03511689724135,NA,1000,100,"interaction","15","stratified_combined"
0.274074074074074,0.530516431924883,0.0411111111111111,0.125555555555556,0.98,1,-1.59855442796596,2.10908666270174,NA,1000,100,"interaction","16","stratified_combined"
0.248,0.451428571428571,0.0344444444444444,0.0877777777777778,0.94,0.96,-1.3220207928145,1.85946914530559,NA,1000,100,"interaction","17","stratified_combined"
0.449438202247191,0.595918367346939,0.0889877641824249,0.162402669632925,0.98,0.99,-1.84610475976209,2.27263095611077,NA,999,100,"interaction","18","stratified_combined"
