"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
1,1,0.652,0.809,NA,NA,NA,NA,NA,1000,0,"null","16","wilcoxon"
1,1,0.00100200400801603,0.0811623246492986,NA,NA,NA,NA,NA,998,0,"null","16","deseq2_pb"
1,1,0.004,0.072,NA,NA,NA,NA,NA,1000,0,"null","17","dream_napari"
1,1,0.004,0.072,NA,NA,NA,NA,NA,1000,0,"null","17","dream_quint"
1,1,0.638,0.826,NA,NA,NA,NA,NA,1000,0,"null","17","seurat_blind"
1,1,0.611,0.784,NA,NA,NA,NA,NA,1000,0,"null","17","seurat_napari"
1,1,0.611,0.784,NA,NA,NA,NA,NA,1000,0,"null","17","seurat_quint"
1,1,0.649,0.816,NA,NA,NA,NA,NA,1000,0,"null","17","wilcoxon"
NA,1,0,0.077,NA,NA,NA,NA,NA,1000,0,"null","17","deseq2_pb"
1,1,0.001001001001001,0.11011011011011,NA,NA,NA,NA,NA,999,0,"null","18","dream_blind"
NA,1,0,0.0970970970970971,NA,NA,NA,NA,NA,999,0,"null","18","dream_napari"
NA,1,0,0.0970970970970971,NA,NA,NA,NA,NA,999,0,"null","18","dream_quint"
1,1,0.652,0.798,NA,NA,NA,NA,NA,1000,0,"null","18","seurat_blind"
1,1,0.636,0.771,NA,NA,NA,NA,NA,1000,0,"null","18","seurat_napari"
1,1,0.636,0.771,NA,NA,NA,NA,NA,1000,0,"null","18","seurat_quint"
1,1,0.648,0.804,NA,NA,NA,NA,NA,1000,0,"null","18","wilcoxon"
1,1,0.00501504513540622,0.078234704112337,NA,NA,NA,NA,NA,997,0,"null","18","deseq2_pb"
NA,1,0,0.084,NA,NA,NA,NA,NA,1000,0,"null","19","dream_blind"
NA,1,0,0.078,NA,NA,NA,NA,NA,1000,0,"null","19","dream_napari"
NA,1,0,0.078,NA,NA,NA,NA,NA,1000,0,"null","19","dream_quint"
1,1,0.618,0.805,NA,NA,NA,NA,NA,1000,0,"null","19","seurat_blind"
1,1,0.609,0.797,NA,NA,NA,NA,NA,1000,0,"null","19","seurat_napari"
1,1,0.609,0.797,NA,NA,NA,NA,NA,1000,0,"null","19","seurat_quint"
1,1,0.626,0.813,NA,NA,NA,NA,NA,1000,0,"null","19","wilcoxon"
1,1,0.00400801603206413,0.0731462925851703,NA,NA,NA,NA,NA,998,0,"null","19","deseq2_pb"
1,1,0.002,0.093,NA,NA,NA,NA,NA,1000,0,"null","2","dream_blind"
1,1,0.004,0.086,NA,NA,NA,NA,NA,1000,0,"null","2","dream_napari"
1,1,0.004,0.086,NA,NA,NA,NA,NA,1000,0,"null","2","dream_quint"
1,1,0.641,0.789,NA,NA,NA,NA,NA,1000,0,"null","2","seurat_blind"
1,1,0.617,0.764,NA,NA,NA,NA,NA,1000,0,"null","2","seurat_napari"
1,1,0.617,0.764,NA,NA,NA,NA,NA,1000,0,"null","2","seurat_quint"
1,1,0.656,0.8,NA,NA,NA,NA,NA,1000,0,"null","2","wilcoxon"
1,1,0.002,0.089,NA,NA,NA,NA,NA,1000,0,"null","2","deseq2_pb"
1,1,0.007,0.102,NA,NA,NA,NA,NA,1000,0,"null","20","dream_blind"
NA,1,0,0.097,NA,NA,NA,NA,NA,1000,0,"null","20","dream_napari"
NA,1,0,0.097,NA,NA,NA,NA,NA,1000,0,"null","20","dream_quint"
1,1,0.649,0.8,NA,NA,NA,NA,NA,1000,0,"null","20","seurat_blind"
1,1,0.637,0.796,NA,NA,NA,NA,NA,1000,0,"null","20","seurat_napari"
1,1,0.637,0.796,NA,NA,NA,NA,NA,1000,0,"null","20","seurat_quint"
1,1,0.662,0.812,NA,NA,NA,NA,NA,1000,0,"null","20","wilcoxon"
1,1,0.003,0.092,NA,NA,NA,NA,NA,1000,0,"null","20","deseq2_pb"
1,1,0.002,0.096,NA,NA,NA,NA,NA,1000,0,"null","21","dream_blind"
NA,1,0,0.097,NA,NA,NA,NA,NA,1000,0,"null","21","dream_napari"
NA,1,0,0.097,NA,NA,NA,NA,NA,1000,0,"null","21","dream_quint"
1,1,0.636,0.794,NA,NA,NA,NA,NA,1000,0,"null","21","seurat_blind"
1,1,0.632,0.8,NA,NA,NA,NA,NA,1000,0,"null","21","seurat_napari"
1,1,0.632,0.8,NA,NA,NA,NA,NA,1000,0,"null","21","seurat_quint"
1,1,0.653,0.809,NA,NA,NA,NA,NA,1000,0,"null","21","wilcoxon"
NA,1,0,0.084,NA,NA,NA,NA,NA,1000,0,"null","21","deseq2_pb"
1,1,0.001,0.083,NA,NA,NA,NA,NA,1000,0,"null","22","dream_blind"
NA,1,0,0.082,NA,NA,NA,NA,NA,1000,0,"null","22","dream_napari"
NA,1,0,0.082,NA,NA,NA,NA,NA,1000,0,"null","22","dream_quint"
1,1,0.626,0.8,NA,NA,NA,NA,NA,1000,0,"null","22","seurat_blind"
1,1,0.595,0.793,NA,NA,NA,NA,NA,1000,0,"null","22","seurat_napari"
1,1,0.595,0.793,NA,NA,NA,NA,NA,1000,0,"null","22","seurat_quint"
