"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","region","model"
1,1,0.00100200400801603,0.0901803607214429,NA,NA,NA,NA,NA,998,0,"null","18","Cortex","stratified_Cortex"
1,1,0.00501504513540622,0.0992978936810431,NA,NA,NA,NA,NA,997,0,"null","18","Hippocampus","stratified_Hippocampus"
1,1,0.00100200400801603,0.0751503006012024,NA,NA,NA,NA,NA,998,0,"null","18","Olfactory","stratified_Olfactory"
1,1,0.00100200400801603,0.0801603206412826,NA,NA,NA,NA,NA,998,0,"null","18","Striatum","stratified_Striatum"
1,1,0.00701402805611222,0.0831663326653307,NA,NA,NA,NA,NA,998,0,"null","19","Cerebellum","stratified_Cerebellum"
1,1,0.001,0.082,NA,NA,NA,NA,NA,1000,0,"null","19","Cortex","stratified_Cortex"
1,1,0.002002002002002,0.0790790790790791,NA,NA,NA,NA,NA,999,0,"null","19","Hippocampus","stratified_Hippocampus"
1,1,0.005005005005005,0.0830830830830831,NA,NA,NA,NA,NA,999,0,"null","19","Olfactory","stratified_Olfactory"
1,1,0.005005005005005,0.0670670670670671,NA,NA,NA,NA,NA,999,0,"null","19","Striatum","stratified_Striatum"
1,1,0.004,0.094,NA,NA,NA,NA,NA,1000,0,"null","2","Cerebellum","stratified_Cerebellum"
1,1,0.004,0.09,NA,NA,NA,NA,NA,1000,0,"null","2","Cortex","stratified_Cortex"
1,1,0.004,0.082,NA,NA,NA,NA,NA,1000,0,"null","2","Hippocampus","stratified_Hippocampus"
1,1,0.002,0.099,NA,NA,NA,NA,NA,1000,0,"null","2","Olfactory","stratified_Olfactory"
1,1,0.001001001001001,0.0910910910910911,NA,NA,NA,NA,NA,999,0,"null","2","Striatum","stratified_Striatum"
1,1,0.001,0.101,NA,NA,NA,NA,NA,1000,0,"null","20","Cerebellum","stratified_Cerebellum"
1,1,0.007,0.085,NA,NA,NA,NA,NA,1000,0,"null","20","Cortex","stratified_Cortex"
1,1,0.002,0.082,NA,NA,NA,NA,NA,1000,0,"null","20","Hippocampus","stratified_Hippocampus"
1,1,0.008,0.097,NA,NA,NA,NA,NA,1000,0,"null","20","Olfactory","stratified_Olfactory"
1,1,0.006,0.098,NA,NA,NA,NA,NA,1000,0,"null","20","Striatum","stratified_Striatum"
1,1,0.011011011011011,0.0750750750750751,NA,NA,NA,NA,NA,999,0,"null","3","Cerebellum","stratified_Cerebellum"
1,1,0.015,0.076,NA,NA,NA,NA,NA,1000,0,"null","3","Cortex","stratified_Cortex"
1,1,0.011011011011011,0.0860860860860861,NA,NA,NA,NA,NA,999,0,"null","3","Hippocampus","stratified_Hippocampus"
